artist_name,track_title,entry_date,stream_duration_ms,product_type,ip_address,client_name_from_session,country_name,region_name,city_name,postal_code,time_zone
Kid Cudi Feat. MGMT Feat. Ratatat,Pursuit Of Happiness (Nightmare),08/03/2022 19:01,270000.0,TRACK,000.00.000.000,Tidal Web Player with Widevine DRM Flac OAuth,Canada,Province,Cityname,A1B,America/Toronto
Filtered Artist,Filtered Album,08/03/2022 19:02,270000.0,ALBUM,000.00.000.099,Tidal Web Player with Widevine DRM Flac OAuth,Canada,Province,Cityname,A1B,America/Toronto
Null Timezone Artist,Null Timezone Track,09/03/2022 0:00,120000.0,TRACK,null,mobile,null,null,null,null,null
Invalid Timezone Artist,Invalid Timezone Track,09/03/2022 0:02,120000.0,TRACK,null,mobile,null,null,null,null,Not/AZone
Invalid Timestamp Artist,Invalid Timestamp Track,not-a-date,120000.0,TRACK,null,mobile,null,null,null,null,UTC
WZRD Feat. Desire,"Teleport 2 Me, Jamie",08/03/2022 19:06,238000.0,TRACK,000.00.000.001,Tidal Web Player with Widevine DRM Flac OAuth,Canada,Province,Cityname,A1B,America/Toronto
Childish Gambino,3005,08/03/2022 19:10,234000.0,TRACK,000.00.000.002,Tidal Web Player with Widevine DRM Flac OAuth,Canada,Province,Cityname,A1B,America/Toronto
A$AP Rocky,L$D,08/03/2022 19:14,238000.0,TRACK,000.00.000.003,Tidal Web Player with Widevine DRM Flac OAuth,Canada,Province,Cityname,A1B,America/Toronto
Mac Miller,Knock Knock,08/03/2022 19:18,56000.0,TRACK,000.00.000.004,Tidal Web Player with Widevine DRM Flac OAuth,Canada,Province,Cityname,A1B,America/Toronto
Kid Cudi,Soundtrack 2 My Life,08/03/2022 19:19,209000.0,TRACK,000.00.000.005,Tidal Web Player with Widevine DRM Flac OAuth,Canada,Province,Cityname,A1B,America/Toronto
WZRD,Efflictim,08/03/2022 19:22,268000.0,TRACK,000.00.000.006,Tidal Web Player with Widevine DRM Flac OAuth,Canada,Province,Cityname,A1B,America/Toronto
Kehlani Feat. Chance the Rapper,The Way (feat. Chance the Rapper),08/03/2022 19:27,236000.0,TRACK,000.00.000.007,Tidal Web Player with Widevine DRM Flac OAuth,Canada,Province,Cityname,A1B,America/Toronto
Marc E. Bassy,Lock It Up (feat. Kehlani),08/03/2022 19:31,226000.0,TRACK,000.00.000.008,Tidal Web Player with Widevine DRM Flac OAuth,Canada,Province,Cityname,A1B,America/Toronto
Rae Sremmurd,Swang,09/03/2022 3:07,3000.0,TRACK,000.00.000.009,Tidal Web Player with Widevine DRM Flac OAuth,Canada,Province,Cityname,A1B,America/Toronto
Rae Sremmurd,Swang,09/03/2022 3:07,208000.0,TRACK,000.00.000.010,Tidal Web Player with Widevine DRM Flac OAuth,Canada,Province,Cityname,A1B,America/Toronto
Donavon,Rudechild,09/03/2022 3:12,149000.0,TRACK,000.00.000.011,Tidal Web Player with Widevine DRM Flac OAuth,Canada,Province,Cityname,A1B,America/Toronto
Gwen Bunn,Pressure,09/03/2022 3:15,202000.0,TRACK,000.00.000.012,Tidal Web Player with Widevine DRM Flac OAuth,Canada,Province,Cityname,A1B,America/Toronto
Donavon,Rudechild,09/03/2022 3:19,6000.0,TRACK,000.00.000.013,Tidal Web Player with Widevine DRM Flac OAuth,Canada,Province,Cityname,A1B,America/Toronto
Barrie,Canyons,25/04/2025 17:11,4819.0,TRACK,null,mobile,null,null,null,null,null
Deadpm,TOMORROW,25/04/2025 17:12,1168.0,TRACK,null,mobile,null,null,null,null,null
Laura Marling,Late to the Flight,25/04/2025 17:13,6885.0,TRACK,null,mobile,null,null,null,null,null
Caribou,Silver,25/04/2025 17:13,538.0,TRACK,null,mobile,null,null,null,null,null
DJ Harrison,Erykah's Gun,25/04/2025 20:20,330.00000000000000,TRACK,null,mobile,null,null,null,null,null
Men I Trust,Tree Among Shrubs,25/04/2025 20:20,715.0,TRACK,null,mobile,null,null,null,null,null
"Aluna, Preditah, Lauren Faith",Sugar,25/04/2025 20:20,993.0000000000000,TRACK,null,mobile,null,null,null,null,null
G.L.A.M.,Sleepin On Me,25/04/2025 20:20,3806.0,TRACK,null,mobile,null,null,null,null,null
Tkay Maidza,Ghost!,25/04/2025 20:20,1557.0,TRACK,null,mobile,null,null,null,null,null
Nia Archives,Forbidden Feelingz,29/04/2025 20:02,121749.0,TRACK,null,mobile,null,null,null,null,null
Nia Archives,Sober Feels,12/06/2025 3:06,151.0,TRACK,null,mobile,null,null,null,null,null
J Balvin,Gris,24/11/2025 21:55,29929.0,TRACK,null,mobile,null,null,null,null,null
Major Lazer,Que Calor,24/11/2025 21:55,6473.0,TRACK,null,mobile,null,null,null,null,null
